Variable:,tas
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1941,-0.09,-2.98,-3.38,1.02,-1.43,-1.09,-0.46,3.84,1.76,-0.10,2.05,-2.51,-0.59,-6.11,5.60,-1.48,1.38,-1.37,0.32,-1.83,-2.66,-3.43,-4.59
1942,-0.25,-3.28,-3.86,0.54,-1.58,-0.96,-0.10,4.06,1.86,0.15,1.41,-2.16,-1.28,-6.40,5.36,-1.59,1.14,-1.34,0.69,-1.68,-2.43,-3.83,-5.05
1943,-0.31,-3.46,-4.27,0.11,-1.57,-0.78,0.66,4.07,1.71,0.22,0.94,-1.74,-1.65,-6.35,5.07,-1.55,0.83,-1.14,1.23,-1.66,-2.39,-4.01,-5.39
1944,-1.13,-4.32,-4.95,-0.76,-2.28,-1.52,0.08,3.23,0.77,-0.61,0.03,-2.46,-2.52,-7.17,4.17,-2.24,-0.04,-1.84,0.47,-2.47,-3.15,-4.85,-6.34
1945,-0.64,-3.79,-4.35,0.15,-2.06,-1.40,-0.14,3.69,1.31,-0.30,0.93,-2.49,-1.66,-6.81,5.00,-2.06,0.64,-1.75,0.54,-2.22,-2.94,-4.24,-5.68
1946,-0.10,-3.12,-3.94,0.76,-1.46,-0.91,0.14,4.21,2.02,0.32,1.53,-1.98,-1.29,-6.33,5.62,-1.48,1.38,-1.23,0.92,-1.56,-2.32,-3.73,-4.94
1947,-1.81,-4.90,-4.92,-0.83,-3.24,-2.70,-1.56,2.15,-0.10,-1.80,0.16,-4.06,-2.49,-7.96,3.87,-3.27,-0.51,-3.04,-1.12,-3.59,-4.32,-5.18,-6.58
1948,0.01,-3.11,-3.64,0.57,-1.28,-0.36,0.97,4.33,1.97,0.53,1.25,-1.47,-1.21,-6.12,5.40,-1.24,1.27,-0.74,1.34,-1.32,-2.03,-3.70,-5.15
1949,-0.42,-3.66,-4.26,0.15,-1.87,-0.99,0.69,3.87,1.47,-0.02,0.98,-1.93,-1.64,-6.58,4.90,-1.86,0.75,-1.36,1.07,-1.96,-2.67,-3.99,-5.40
1950,-0.51,-3.56,-4.89,0.19,-1.67,-0.77,0.39,3.89,1.51,-0.03,0.68,-2.00,-2.09,-6.50,5.01,-1.69,0.91,-1.18,0.96,-1.81,-2.55,-4.49,-5.73
1951,-0.42,-3.53,-3.85,0.37,-1.88,-1.26,0.16,3.76,1.54,-0.11,1.18,-2.37,-1.34,-6.61,5.07,-1.94,0.91,-1.63,0.62,-2.01,-2.74,-3.84,-5.24
1952,-1.04,-4.00,-4.96,-0.16,-2.19,-1.60,-0.79,3.01,0.88,-0.79,0.79,-2.96,-2.09,-7.04,4.46,-2.21,0.37,-1.93,-0.23,-2.54,-3.30,-4.63,-5.68
1953,-0.36,-3.47,-3.46,0.46,-1.64,-0.93,-0.15,3.59,1.38,-0.28,1.47,-2.44,-0.99,-6.29,5.08,-1.61,0.86,-1.31,0.36,-2.00,-2.75,-3.49,-5.06
1954,-1.26,-4.06,-5.37,-0.38,-2.24,-1.68,-1.22,2.93,0.73,-0.99,0.40,-3.25,-2.47,-7.07,4.31,-2.23,0.26,-2.00,-0.54,-2.68,-3.46,-4.93,-5.92
1955,-0.42,-3.51,-3.79,0.34,-1.77,-0.91,-0.08,3.73,1.42,-0.14,1.26,-2.30,-1.23,-6.49,4.97,-1.74,0.87,-1.31,0.45,-1.91,-2.65,-3.77,-5.17
1956,-1.55,-4.81,-4.92,-0.76,-2.96,-2.09,-1.56,2.68,0.41,-1.25,0.36,-3.45,-2.19,-7.75,4.01,-2.99,-0.28,-2.49,-0.73,-3.07,-3.79,-5.02,-6.33
