Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1942,14.34,14.74,16.19,10.48,21.55,10.19,16.82,20.44,17.61,22.86,9.77,15.34,15.01,12.02,20.24,10.54,12.25,16.07,10.07,16.23,7.83,18.42,20.11,4.92,16.55
1943,14.83,15.51,17.05,10.83,21.97,10.74,17.35,21.08,18.40,23.21,9.86,15.89,15.40,12.37,20.78,11.02,12.79,16.17,10.49,16.60,8.29,19.08,20.49,5.26,16.76
1944,15.29,15.43,16.85,11.75,23.09,10.59,18.17,22.04,18.77,24.23,10.51,16.11,16.32,13.19,21.58,11.18,12.85,16.99,11.40,17.52,7.96,19.90,21.64,4.85,17.78
1945,15.37,15.53,17.04,11.87,22.95,10.71,18.41,21.85,18.74,24.01,10.60,16.19,16.48,13.36,21.27,11.20,12.87,17.05,11.53,17.77,8.18,19.96,21.69,5.06,17.86
1946,14.58,14.85,16.39,11.15,22.04,9.79,17.37,20.66,17.79,23.35,10.52,15.36,15.76,12.68,20.51,10.43,11.98,16.80,10.87,16.93,7.41,18.80,20.76,4.48,17.15
1947,14.75,15.12,16.48,11.02,22.13,10.23,17.39,20.90,17.89,23.33,10.05,15.85,15.71,12.91,20.58,10.79,12.46,16.41,10.95,17.06,7.71,18.93,20.78,4.67,16.98
1948,14.77,14.94,16.41,11.37,22.66,9.95,17.56,21.13,17.95,23.94,10.71,15.52,15.87,12.70,20.88,10.41,12.08,17.07,10.93,17.05,7.48,19.11,21.23,4.22,17.47
1949,14.77,15.05,16.49,10.98,22.29,10.32,17.40,21.14,18.08,23.54,10.05,15.77,15.70,12.64,20.91,10.75,12.50,16.41,10.83,16.89,7.90,19.01,20.75,4.70,16.90
1950,14.73,15.03,16.48,11.28,22.37,9.74,17.68,21.10,18.09,23.52,10.21,15.78,16.00,12.85,20.90,10.43,12.09,16.63,11.03,17.28,7.30,19.10,21.06,4.27,17.27
1951,14.96,15.28,16.90,11.31,22.51,10.15,17.99,21.21,18.46,23.67,10.27,15.82,16.10,12.90,20.80,11.01,12.33,16.72,11.04,17.20,7.88,19.46,21.17,4.92,17.22
1952,14.94,15.30,17.01,11.10,22.25,10.71,17.43,21.20,18.50,23.46,9.94,15.91,15.88,12.76,20.95,11.34,12.80,16.35,10.94,16.78,8.27,19.15,20.77,5.22,16.96
1953,14.98,14.97,16.73,11.39,22.75,10.52,17.64,21.48,18.51,23.95,10.56,15.61,16.08,12.80,21.29,11.09,12.55,16.92,11.06,16.94,7.84,19.39,21.25,4.88,17.37
1954,14.57,14.88,16.59,10.89,22.15,10.15,17.29,20.95,18.02,23.40,9.86,15.37,15.61,12.38,20.94,10.81,12.17,16.24,10.59,16.65,7.49,18.83,20.62,4.57,16.79
1955,14.26,14.41,16.19,10.58,21.80,9.99,16.78,20.48,17.57,23.13,9.70,14.91,15.19,12.18,20.48,10.65,11.91,16.08,10.20,16.18,7.46,18.38,20.30,4.76,16.57
1956,14.00,14.27,16.02,10.17,20.90,10.10,16.41,20.13,17.29,22.17,8.97,14.83,14.91,11.84,20.18,10.57,11.90,15.23,9.93,15.81,7.89,17.98,19.63,5.21,16.01
1957,14.58,14.99,16.77,11.01,21.75,10.08,17.27,21.05,18.20,22.95,9.75,15.36,15.78,12.74,20.86,10.71,12.08,16.00,10.87,16.75,7.59,18.93,20.48,4.58,16.78
1958,14.83,15.34,16.95,11.14,22.18,10.31,17.69,21.20,18.38,23.33,10.18,15.73,15.88,12.69,21.08,10.65,12.32,16.44,10.87,17.03,7.71,19.29,20.90,4.47,17.06
1959,14.30,14.58,16.32,10.63,21.90,9.96,16.70,21.09,17.79,23.27,9.76,15.00,15.28,12.17,21.13,10.26,11.75,16.03,10.38,16.16,7.46,18.56,20.24,4.03,16.55
1960,14.92,15.40,17.10,11.35,22.11,10.43,17.82,21.25,18.64,23.23,9.83,15.79,16.06,12.84,20.96,10.76,12.32,16.25,11.00,17.13,8.02,19.45,21.02,4.94,17.26
1961,14.90,15.25,16.86,11.73,22.85,9.62,17.76,21.39,18.37,24.08,10.91,15.88,16.28,12.91,21.26,10.47,12.10,17.36,11.28,17.28,6.95,19.39,21.45,4.03,17.93
1962,14.77,15.06,16.25,11.27,21.43,10.74,17.38,20.34,17.80,22.68,9.82,15.99,15.98,12.61,19.87,10.89,12.70,16.25,10.90,16.95,8.37,18.66,20.63,5.29,17.23
1963,14.69,14.91,16.62,11.23,22.98,9.91,17.53,21.43,18.21,24.33,10.50,15.10,15.82,12.08,21.21,10.19,11.86,16.95,10.62,16.64,7.42,19.33,21.16,4.31,17.34
1964,14.32,14.37,16.02,10.90,21.75,9.81,17.21,20.27,17.43,23.07,10.04,14.97,15.52,12.19,20.17,10.20,11.70,16.37,10.51,16.59,7.44,18.61,20.65,4.47,16.98
1965,14.80,15.22,16.82,11.46,22.15,9.90,17.97,20.83,18.37,23.38,10.42,15.66,16.17,12.57,20.46,10.32,12.05,16.82,11.04,17.12,7.47,19.42,21.21,5.06,17.44
