Variable:,tas
,Azerbaijan,Absheron,Aran,"Daghlig Shirvan",Ganja-Gazakh,Guba-Khachmaz,Kalbajar-Lachin,Lankaran,Nakhchivan,Shaki-Zaqatala,"Yukhari Garabakh","Administrative unit not available"
1992,11.41,12.36,13.70,10.30,10.62,8.59,6.87,11.98,8.34,9.00,11.37,13.39
1993,11.53,12.36,13.85,10.31,10.93,8.53,7.15,12.09,8.74,9.06,11.59,13.41
1994,12.41,13.12,14.72,11.11,11.98,9.27,8.16,12.93,9.82,9.99,12.56,14.13
1995,13.35,14.26,15.64,12.22,12.65,10.52,8.93,13.83,10.42,10.96,13.38,15.24
1996,13.09,13.78,15.39,11.83,12.66,10.05,8.89,13.58,10.50,10.69,13.27,14.76
1997,12.82,13.68,15.15,11.66,12.13,9.88,8.43,13.36,9.93,10.34,12.88,14.71
1998,13.80,14.60,16.14,12.59,13.22,10.77,9.50,14.33,11.02,11.33,13.94,15.55
1999,13.78,14.54,16.09,12.59,13.25,10.81,9.46,14.30,11.09,11.41,13.89,15.52
2000,13.46,14.31,15.76,12.27,12.81,10.50,9.08,14.01,10.64,11.05,13.51,15.29
2001,14.01,14.69,16.37,12.69,13.48,10.86,9.75,14.68,11.27,11.56,14.18,15.74
2002,13.22,14.12,15.62,12.00,12.40,10.16,8.79,13.95,10.23,10.67,13.30,15.15
2003,12.96,13.67,15.33,11.66,12.43,9.80,8.68,13.60,10.25,10.49,13.10,14.69
2004,13.48,14.49,15.81,12.28,12.65,10.67,8.96,14.04,10.43,11.05,13.47,15.47
2005,13.49,14.43,15.83,12.27,12.80,10.50,9.06,14.13,10.45,10.96,13.50,15.43
2006,13.50,14.35,15.83,12.28,12.86,10.49,9.12,14.19,10.66,10.94,13.59,15.37
2007,13.19,14.24,15.54,11.96,12.39,10.24,8.62,13.91,9.96,10.64,13.10,15.27
2008,13.18,13.95,15.54,11.93,12.59,10.04,8.88,13.88,10.41,10.66,13.32,14.95
2009,13.34,14.21,15.68,12.13,12.68,10.35,8.92,13.98,10.44,10.82,13.39,15.21
2010,14.84,15.49,17.17,13.60,14.36,11.80,10.60,15.44,12.23,12.40,15.04,16.51
