Variable:,tas
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
2001,7.30,3.68,7.36,7.74,10.09,10.54,5.75,5.55,10.99,13.09,12.59,3.49,2.94,3.53,12.94,8.16,8.61
2002,7.73,4.57,7.42,8.36,9.79,10.86,6.57,6.10,11.13,12.75,12.36,4.61,3.76,4.44,13.00,7.83,8.90
2003,6.64,3.36,6.54,6.87,9.13,9.67,5.13,5.20,10.23,12.07,11.62,3.26,3.02,2.97,12.19,7.23,7.62
2004,7.88,4.23,8.15,8.19,10.85,11.02,6.31,6.24,11.68,13.63,13.26,3.89,3.56,3.91,13.42,8.74,8.98
2005,7.56,4.12,7.68,7.85,10.40,10.75,6.18,5.87,11.33,13.33,12.94,3.96,3.51,3.28,13.04,8.39,8.60
2006,7.41,3.87,7.35,8.21,9.83,10.83,6.05,5.77,10.89,12.74,12.31,3.58,3.00,3.93,12.92,7.84,8.95
2007,7.70,4.26,7.41,8.34,10.42,10.88,6.17,5.82,11.03,13.40,12.87,4.39,3.81,4.34,12.98,8.43,9.07
2008,7.53,4.42,7.40,8.09,9.91,10.62,6.17,6.19,10.66,12.50,12.05,4.33,3.95,4.06,12.50,8.27,8.75
2009,6.93,3.20,6.99,7.48,9.85,10.27,5.32,5.18,10.69,12.74,12.27,2.81,2.48,3.10,12.68,7.97,8.35
2010,7.42,3.37,8.09,7.58,11.22,10.74,5.65,5.74,11.53,14.00,13.42,2.44,2.43,2.64,13.34,9.28,8.56
2011,6.34,2.73,5.95,7.24,8.90,10.00,4.77,4.38,9.86,12.05,11.53,2.79,2.29,2.76,12.22,6.97,8.19
2012,6.72,3.07,7.26,6.76,10.16,9.59,4.88,5.40,10.27,12.90,12.28,2.70,2.70,2.38,11.97,8.47,7.65
2013,8.17,4.60,8.40,8.49,11.04,11.28,6.76,6.49,11.85,13.65,13.28,4.38,3.77,4.36,13.44,9.10,9.15
2014,6.53,3.01,6.48,6.95,9.62,9.58,4.82,4.83,9.79,12.82,12.02,2.90,2.45,3.02,11.84,7.73,7.74
2015,7.91,4.38,7.71,8.54,10.52,11.21,6.48,6.06,11.45,13.39,12.87,4.37,3.72,4.45,13.34,8.63,9.22
2016,7.81,4.01,8.01,8.30,10.61,11.15,6.26,5.99,11.79,13.26,12.94,3.82,3.30,3.90,13.56,8.69,9.13
2017,7.63,4.22,7.57,7.94,10.51,10.62,6.17,5.86,11.02,13.35,12.81,4.15,3.59,4.16,12.90,8.54,8.58
2018,6.55,2.29,6.56,7.29,9.85,10.14,4.61,4.42,10.32,13.17,12.45,2.22,1.77,2.83,12.63,7.86,8.23
2019,7.88,4.18,7.90,8.39,10.78,11.11,6.29,6.11,11.61,13.71,13.18,4.07,3.62,4.04,13.50,8.78,9.12
2020,8.35,5.59,8.60,8.15,11.41,10.67,6.85,7.21,11.33,13.85,13.27,5.49,5.25,4.54,12.75,9.62,8.69
2021,7.88,3.97,8.24,8.23,11.12,11.12,6.09,6.06,11.75,13.88,13.37,3.65,3.33,3.97,13.57,9.17,9.08
