Variable:,tas
,Afghanistan,Badakhshan,Badghis,Baghlan,Balkh,Bamyan,Farah,Faryab,Ghazni,Ghor,Hilmand,Hirat,Jawzjan,Kabul,Kandahar,Kapisa,Khost,Kunar,Kunduz,Laghman,Logar,Nangarhar,Nimroz,Nuristan,Paktika,Paktya,Samangan,Sar-e-Pul,Takhar,Wardak,Zabul,Daykundi,Panjsher,Parwan,Uruzgan
1962,12.31,1.21,10.99,9.03,15.25,3.43,17.47,12.64,7.35,6.67,18.74,14.06,16.67,10.33,17.48,8.74,13.92,12.45,16.40,13.99,8.51,16.74,21.43,3.30,12.03,9.06,9.48,8.22,9.92,4.81,12.40,7.73,1.38,5.24,11.38
1963,13.27,1.91,12.10,9.75,16.15,4.14,18.77,13.68,8.07,7.70,19.88,15.29,17.66,10.96,18.44,9.40,14.57,13.06,17.19,14.60,9.19,17.29,22.73,3.89,12.73,9.81,10.26,9.24,10.71,5.51,13.15,8.55,2.03,5.88,12.25
1964,11.61,0.27,10.00,8.08,14.22,2.59,16.90,11.55,6.74,5.83,18.30,13.27,15.56,9.50,17.08,7.86,13.48,11.70,15.34,13.18,7.82,16.05,21.08,2.43,11.59,8.50,8.50,7.22,8.93,4.12,11.93,7.07,0.45,4.35,10.81
1965,12.52,1.01,11.58,8.76,15.29,3.38,18.16,13.16,7.29,7.05,19.14,14.71,16.99,10.06,17.63,8.45,13.68,12.09,16.23,13.70,8.35,16.37,22.08,2.93,11.88,8.90,9.28,8.46,9.71,4.76,12.33,7.89,1.08,4.98,11.52
1966,12.80,1.49,11.93,9.28,15.82,3.76,18.29,13.56,7.57,7.34,19.18,14.98,17.48,10.55,17.67,8.93,13.94,12.56,16.76,14.14,8.76,16.80,22.13,3.45,12.03,9.22,9.83,8.89,10.22,5.17,12.47,8.15,1.54,5.47,11.71
1967,12.21,0.80,10.87,8.49,14.93,3.02,17.69,12.56,7.08,6.57,19.05,14.02,16.55,9.81,17.56,8.19,13.53,12.05,15.94,13.47,8.09,16.29,21.98,2.81,11.69,8.67,9.00,7.99,9.44,4.47,12.21,7.58,0.81,4.70,11.32
1968,12.22,1.02,11.18,8.76,15.25,3.14,17.68,12.90,6.84,6.63,18.74,14.24,16.87,10.00,17.24,8.40,13.34,12.04,16.22,13.65,8.15,16.29,21.72,2.93,11.37,8.55,9.28,8.25,9.70,4.54,11.82,7.46,1.04,4.93,11.08
1969,12.22,0.66,10.17,8.65,14.48,3.28,17.56,11.65,7.56,6.22,19.28,13.44,15.58,10.21,18.05,8.53,14.27,12.44,15.75,13.86,8.58,16.80,22.14,3.09,12.43,9.28,9.00,7.44,9.35,4.89,12.85,7.83,1.09,5.04,11.70
1970,13.14,2.04,11.73,9.85,16.07,4.17,18.44,13.42,8.06,7.45,19.64,14.85,17.43,11.12,18.24,9.55,14.65,13.38,17.20,14.82,9.29,17.60,22.56,4.15,12.68,9.79,10.32,9.02,10.74,5.61,13.07,8.51,2.17,6.01,12.17
1971,13.13,2.15,11.95,9.87,16.19,4.14,18.41,13.67,7.94,7.60,19.47,15.02,17.65,11.06,18.10,9.54,14.47,13.38,17.32,14.79,9.15,17.55,22.25,4.16,12.51,9.64,10.36,9.15,10.84,5.50,12.89,8.50,2.19,5.97,12.14
1972,11.08,0.17,9.20,7.86,13.76,2.17,16.10,10.96,6.31,5.10,17.66,12.37,15.02,9.32,16.47,7.72,13.13,11.74,15.01,13.08,7.53,16.03,20.48,2.39,11.14,8.16,8.17,6.70,8.71,3.76,11.46,6.47,0.28,4.13,10.22
1973,12.65,1.54,11.31,9.19,15.47,3.55,18.06,13.00,7.44,6.96,19.22,14.55,16.96,10.46,17.81,8.87,14.05,12.79,16.54,14.16,8.63,17.00,22.09,3.54,12.10,9.15,9.64,8.47,10.12,4.96,12.52,7.97,1.50,5.35,11.63
1974,11.85,0.85,10.11,8.64,14.75,2.98,16.93,11.89,6.93,5.97,18.42,13.22,16.05,9.99,17.17,8.36,13.63,12.24,15.89,13.69,8.19,16.50,21.28,3.00,11.63,8.72,9.02,7.65,9.50,4.49,11.99,7.28,0.99,4.86,11.01
1975,12.02,0.75,10.94,8.47,14.90,2.91,17.45,12.62,6.83,6.46,18.54,14.09,16.59,9.77,17.10,8.16,13.35,11.86,15.86,13.43,8.00,16.12,21.42,2.71,11.47,8.51,8.94,7.98,9.38,4.35,11.87,7.33,0.77,4.66,10.96
1976,12.16,1.02,10.62,8.77,15.01,3.17,17.47,12.29,7.09,6.44,18.81,13.84,16.39,10.03,17.45,8.44,13.62,12.25,16.15,13.71,8.25,16.48,21.66,3.04,11.74,8.77,9.23,7.97,9.68,4.59,12.16,7.55,1.10,4.93,11.22
1977,13.18,1.86,11.78,9.62,15.92,4.08,18.68,13.40,8.02,7.48,19.95,15.03,17.40,10.90,18.45,9.32,14.49,13.09,17.01,14.59,9.15,17.32,22.90,3.90,12.58,9.65,10.09,8.92,10.51,5.51,13.05,8.53,1.97,5.80,12.28
1978,12.80,1.58,11.42,9.37,15.67,3.81,18.25,13.09,7.64,7.16,19.40,14.62,17.10,10.60,17.88,9.04,14.18,12.83,16.73,14.28,8.80,16.99,22.41,3.63,12.23,9.32,9.84,8.73,10.25,5.17,12.63,8.14,1.69,5.53,11.81
1979,12.64,1.80,11.62,9.51,15.92,3.77,17.80,13.38,7.42,7.14,18.84,14.49,17.42,10.62,17.44,9.12,13.96,12.84,16.97,14.34,8.69,16.97,21.69,3.72,11.97,9.14,10.03,8.93,10.45,5.06,12.32,8.00,1.81,5.58,11.53
1980,12.98,1.87,11.66,9.53,15.91,3.86,18.46,13.33,7.60,7.29,19.67,14.78,17.34,10.68,18.17,9.17,14.17,12.90,17.05,14.41,8.80,17.07,22.65,3.76,12.22,9.34,10.07,8.88,10.53,5.19,12.69,8.21,1.84,5.62,11.90
1981,13.04,1.83,12.08,9.55,16.00,3.96,18.52,13.76,7.72,7.54,19.56,15.03,17.63,10.71,18.06,9.17,14.15,12.85,17.01,14.39,8.89,17.04,22.46,3.74,12.26,9.37,10.06,9.09,10.52,5.29,12.70,8.32,1.86,5.67,11.94
1982,11.99,1.00,10.56,8.67,14.96,2.99,17.27,12.27,6.82,6.30,18.61,13.57,16.35,9.83,17.20,8.30,13.31,12.00,16.08,13.53,7.99,16.19,21.47,2.87,11.42,8.47,9.14,7.93,9.61,4.33,11.88,7.39,0.98,4.76,11.04
1983,12.88,1.63,12.10,9.36,16.06,3.79,18.43,13.83,7.36,7.55,19.38,15.02,17.80,10.35,17.79,8.87,13.61,12.41,16.98,14.01,8.50,16.57,22.30,3.39,11.76,8.93,9.98,9.21,10.38,4.95,12.31,8.16,1.62,5.37,11.78
1984,12.47,1.38,10.87,9.23,15.35,3.59,17.68,12.55,7.54,6.75,19.06,13.89,16.56,10.45,17.79,8.90,14.14,12.74,16.59,14.16,8.64,16.99,21.77,3.53,12.20,9.21,9.70,8.25,10.12,4.99,12.63,7.96,1.55,5.37,11.68
1985,13.00,2.00,11.59,9.91,16.13,4.21,18.13,13.36,8.02,7.43,19.37,14.54,17.46,10.96,18.04,9.47,14.54,13.17,17.28,14.65,9.14,17.38,22.13,4.04,12.62,9.67,10.39,9.11,10.78,5.51,13.00,8.51,2.21,5.95,12.13
